Fin-dex,PD#PN,Section,Slug,Status,Chars,Est_Cost_USD,Quota_Impact_%,COMMAND
0001,PD.AA.000,20 - About,buddha-dhamma-teachings-of-buddha,PENDING,7733,0.1547,1.55%,YES
0002,BD.AA.000,02 - Buddha Dhamma,dhamma,PENDING,1350,0.027,0.27%,YES
0003,BD.AA.001,02 - Buddha Dhamma,users-guide-puredhamma-website,PENDING,14707,0.2941,2.94%,YES
0004,CH.AA.000,23 - Buddhism in Charts,buddhism-in-charts,PENDING,1364,0.0273,0.27%,YES
0005,CH.AA.002,23 - Buddhism in Charts,buddha-dhamma-foundation,PENDING,353,0.0071,0.07%,YES
0006,BD.BB.001,02 - Buddha Dhamma,buddha-dhamma-a-scientific-approach,PENDING,351,0.007,0.07%,YES
0007,BD.BB.002,02 - Buddha Dhamma,introduction-scientific-approach-buddha-dhamma,PENDING,10167,0.2033,2.03%,YES
0008,BD.BB.003,02 - Buddha Dhamma,theories-of-our-world-scientific-overview,PENDING,7476,0.1495,1.5%,YES
0009,BD.BB.004,02 - Buddha Dhamma,mind-matter-buddhist-analysis,PENDING,11165,0.2233,2.23%,YES
0010,BD.BB.005,02 - Buddha Dhamma,sensual-pleasures-the-hidden-suffering,PENDING,12341,0.2468,2.47%,YES
0011,BD.BB.006,02 - Buddha Dhamma,kammic-energy-leads-to-consciousness,PENDING,10220,0.2044,2.04%,YES
0012,BD.CC.001,02 - Buddha Dhamma,brain-and-the-gandhabba,PENDING,241,0.0048,0.05%,YES
0013,BD.CC.002,02 - Buddha Dhamma,mind-is-not-in-the-brain,PENDING,10747,0.2149,2.15%,YES
0014,BD.CC.003,02 - Buddha Dhamma,gandhabba-in-a-human-body-an-analogy,PENDING,10809,0.2162,2.16%,YES
0015,BD.CC.004,02 - Buddha Dhamma,persistent-vegetative-state-buddhist-view,PENDING,11088,0.2218,2.22%,YES
0016,BD.CC.005,02 - Buddha Dhamma,patient-h-m-brain-and-memory,PENDING,12870,0.2574,2.57%,YES
0017,BD.CC.006,02 - Buddha Dhamma,memory-recall-for-gandhabba-in-a-human-body,PENDING,9598,0.192,1.92%,YES
0018,BD.CC.007,02 - Buddha Dhamma,how-do-we-see-role-of-the-gandhabba,PENDING,16906,0.3381,3.38%,YES
0019,BD.DD.001,02 - Buddha Dhamma,our-two-worlds-rupa-loka-and-nama-loka,PENDING,259,0.0052,0.05%,YES
0020,BD.DD.002,02 - Buddha Dhamma,autobiographical-memory-preserved-in-nama-loka,PENDING,11364,0.2273,2.27%,YES
0021,BD.DD.003,02 - Buddha Dhamma,rupa-and-rupakkhandha,PENDING,10856,0.2171,2.17%,YES
0022,BD.DD.004,02 - Buddha Dhamma,response-to-a-sensory-stimulus,PENDING,13477,0.2695,2.7%,YES
0023,BD.DD.005,02 - Buddha Dhamma,arammana-plays-critical-role-in-sensory-event,PENDING,11547,0.2309,2.31%,YES
0024,BD.DD.006,02 - Buddha Dhamma,nama-loka-and-rupa-loka,PENDING,12550,0.251,2.51%,YES
0025,BD.EE.001,02 - Buddha Dhamma,tipitaka-a-systematic-approach,PENDING,316,0.0063,0.06%,YES
0026,BD.EE.002,02 - Buddha Dhamma,tipitaka-uniqueness-buddha-dhamma,PENDING,12160,0.2432,2.43%,YES
0027,BD.EE.003,02 - Buddha Dhamma,pali-canon-is-self-contained-but-requires-detailed-explanation,PENDING,12162,0.2432,2.43%,YES
0028,BD.EE.004,02 - Buddha Dhamma,vinaya-pitaka-more-than-disciplinary-rules,PENDING,9411,0.1882,1.88%,YES
0029,BD.EE.005,02 - Buddha Dhamma,abhidhamma-pitaka-deeper-analyses-of-concepts,PENDING,11974,0.2395,2.39%,YES
0030,HB.AA.002,14 - Historical Background,incorrect-theravada-interpretations-historical-timeline,PENDING,11497,0.2299,2.3%,YES
0031,ER.HH.001,06 - Elephants in the Room,word-for-word-translation-of-the-tipitaka,PENDING,163,0.0033,0.03%,YES
0032,ER.BB.002,06 - Elephants in the Room,elephant-in-the-room-direct-translation-of-the-tipitaka,PENDING,12537,0.2507,2.51%,YES
0033,ER.BB.003,06 - Elephants in the Room,niddesa-brief-description-of-paticca-samuppada,PENDING,13470,0.2694,2.69%,YES
0034,ER.CC.001,06 - Elephants in the Room,paticca-samuppada-during-a-lifetime,PENDING,600,0.012,0.12%,YES
0035,BD.FF.001,02 - Buddha Dhamma,antarabhava-and-gandhabba,PENDING,176,0.0035,0.04%,YES
0036,BD.FF.002,02 - Buddha Dhamma,antarabhava-no-connection-to-gandhabba,PENDING,9695,0.1939,1.94%,YES
0037,BD.FF.003,02 - Buddha Dhamma,antarabhava-discussion-in-kathavatthu,PENDING,12627,0.2525,2.53%,YES
0038,BD.FF.004,02 - Buddha Dhamma,interpretation-of-the-tipitaka-gandhabba-example,PENDING,12026,0.2405,2.41%,YES
0039,BD.GG.001,02 - Buddha Dhamma,buddhahood-associated-controversies,PENDING,166,0.0033,0.03%,YES
0040,BD.GG.002,02 - Buddha Dhamma,buddhahood-controversies-introduction,PENDING,12486,0.2497,2.5%,YES
0041,BD.GG.003,02 - Buddha Dhamma,patihariya-supernormal-abilities-of-a-buddha,PENDING,14099,0.282,2.82%,YES
0042,BD.GG.004,02 - Buddha Dhamma,patihariya-iddhi-of-buddha,PENDING,12975,0.2595,2.6%,YES
0043,BD.AA.002,02 - Buddha Dhamma,what-is-buddha-dhamma,PENDING,10867,0.2173,2.17%,YES
0044,BD.AA.003,02 - Buddha Dhamma,foundation-of-dhamma,PENDING,7049,0.141,1.41%,YES
0045,BD.AA.004,02 - Buddha Dhamma,the-importance-of-purifying-the-mind-2,PENDING,11238,0.2248,2.25%,YES
0046,BD.HH.001,02 - Buddha Dhamma,the-grand-unified-theory-of-dhamma,PENDING,333,0.0067,0.07%,YES
0047,BD.HH.002,02 - Buddha Dhamma,grand-unified-theory-of-dhamma,PENDING,16176,0.3235,3.24%,YES
0048,BD.HH.003,02 - Buddha Dhamma,our-two-worlds-material-immaterial,PENDING,15527,0.3105,3.11%,YES
0049,BD.HH.004,02 - Buddha Dhamma,31-realms-associated-with-the-earth,PENDING,13160,0.2632,2.63%,YES
0050,BD.HH.005,02 - Buddha Dhamma,gandhabba-only-in-human-and-animal-realms,PENDING,14658,0.2932,2.93%,YES
0051,AB.EE.002,13 - Abhidhamma,importance-of-manomaya-kaya,PENDING,15330,0.3066,3.07%,YES
0052,BD.HH.006,02 - Buddha Dhamma,gandhabba-sensing-the-world-with-and-without-a-physical-body,PENDING,14467,0.2893,2.89%,
0053,BD.HH.007,02 - Buddha Dhamma,nibbana-in-the-big-picture,PENDING,10783,0.2157,2.16%,
0054,BD.AA.005,02 - Buddha Dhamma,buddha-dhamma-non-perceivability-self-consistency,PENDING,13480,0.2696,2.7%,
0055,BD.AA.006,02 - Buddha Dhamma,samsaric-time-scale-buddhist-cosmology,PENDING,6793,0.1359,1.36%,YES
0056,BD.AA.007,02 - Buddha Dhamma,evidence-for-rebirth,PENDING,12697,0.2539,2.54%,
0057,BD.II.001,02 - Buddha Dhamma,power-of-the-human-mind,PENDING,242,0.0048,0.05%,YES
0058,BD.II.002,02 - Buddha Dhamma,power-of-the-human-mind,PENDING,242,0.0048,0.05%,YES
0059,BD.II.003,02 - Buddha Dhamma,jhana-stages-of-nibbana,PENDING,13444,0.2689,2.69%,
0060,BD.II.004,02 - Buddha Dhamma,power-of-the-human-mind-the-anariya-or-mundane-jhanas,PENDING,12525,0.2505,2.5%,
0061,BD.II.005,02 - Buddha Dhamma,power-of-the-human-mind-ariya-jhanas,PENDING,6238,0.1248,1.25%,
0062,BD.II.006,02 - Buddha Dhamma,are-there-procedures-for-attaining-magga-phala-jhana-and-abhinna,PENDING,11996,0.2399,2.4%,
0063,BD.AA.008,02 - Buddha Dhamma,transfer-of-merits-pattidana-punnanumodana,PENDING,11545,0.2309,2.31%,
0064,BD.AA.009,02 - Buddha Dhamma,first-noble-truth-is-suffering-myths-about-suffering,PENDING,10972,0.2194,2.19%,
0065,BD.AA.010,02 - Buddha Dhamma,vinaya-the-nature-likes-to-be-in-equillibrium,PENDING,8685,0.1737,1.74%,
0066,KD.AA.000,03 - Key Dhamma Concepts,key-dhamma-concepts,PENDING,4029,0.0806,0.81%,
0067,KD.BB.001,03 - Key Dhamma Concepts,basic-framework-of-buddha-dhamma,PENDING,598,0.012,0.12%,
0068,KD.BB.002,03 - Key Dhamma Concepts,buddha-dhamma-noble-truths-paticca-samuppada-tilakkhana,PENDING,10343,0.2069,2.07%,
0069,KD.BB.003,03 - Key Dhamma Concepts,noble-truths-paticca-samuppada-tilakkhana-key-relationships,PENDING,12417,0.2483,2.48%,
0070,KD.BB.004,03 - Key Dhamma Concepts,anicca-nature-the-first-noble-truth-and-paticca-samuppada,PENDING,12107,0.2421,2.42%,
0071,KD.BB.005,03 - Key Dhamma Concepts,anicca-not-possible-to-overcome-suffering,PENDING,10555,0.2111,2.11%,
0072,KD.CC.001,03 - Key Dhamma Concepts,tilakkhana-introduction,PENDING,510,0.0102,0.1%,
0073,KD.CC.002,03 - Key Dhamma Concepts,anicca-and-anatta-two-characteristics-of-the-world,PENDING,11997,0.2399,2.4%,
0074,KD.CC.003,03 - Key Dhamma Concepts,anuloma-khanti-sammattaniyama-pre-requisites-for-a-sotapanna,PENDING,11482,0.2296,2.3%,
0076,KD.CC.004,03 - Key Dhamma Concepts,dukkha-in-tilakkhana-is-a-characteristic-not-dukkha-vedana,PENDING,10943,0.2189,2.19%,
0077,KD.CC.005,03 - Key Dhamma Concepts,attachment-to-things-with-dukkha-lakkhana-leads-to-dukkha,PENDING,10110,0.2022,2.02%,
0078,KD.CC.006,03 - Key Dhamma Concepts,how-does-anicca-nature-lead-to-dukkha,PENDING,15061,0.3012,3.01%,
0079,KD.CC.007,03 - Key Dhamma Concepts,anatta-is-a-characteristic-of-the-world-not-about-a-self,PENDING,8771,0.1754,1.75%,
0080,KD.CC.008,03 - Key Dhamma Concepts,anatta-in-anattalakkhana-sutta-part-1,PENDING,11701,0.234,2.34%,
0081,KD.CC.009,03 - Key Dhamma Concepts,anatta-in-anattalakkhana-sutta-part-2,PENDING,10248,0.205,2.05%,
0082,KD.DD.001,03 - Key Dhamma Concepts,san,PENDING,187,0.0037,0.04%,YES
0083,KD.DD.002,03 - Key Dhamma Concepts,san-dasa-akusala,PENDING,12815,0.2563,2.56%,
0084,KD.DD.003,03 - Key Dhamma Concepts,sankhara-kamma-kamma-vipaka,PENDING,19514,0.3903,3.9%,
0085,KD.DD.004,03 - Key Dhamma Concepts,sankhara-life-is-a-bundle-of-sankhara,PENDING,8715,0.1743,1.74%,
0086,PS.DD.004,09 - Paṭicca Samuppāda,difference-between-dhamma-and-sae1b985khara,PENDING,13649,0.273,2.73%,
0087,KD.DD.005,03 - Key Dhamma Concepts,kamma-are-done-with-abhisae1b985khara-types-of-abhisae1b985khara,PENDING,13612,0.2722,2.72%,
0088,KD.EE.001,03 - Key Dhamma Concepts,nibbana-2,PENDING,229,0.0046,0.05%,
0089,KD.EE.002,03 - Key Dhamma Concepts,nibbana-difficult-to-understand,PENDING,13137,0.2627,2.63%,
0090,BD.JJ.001,02 - Buddha Dhamma,the-four-stages-in-attaining-nibbana,PENDING,12162,0.2432,2.43%,
0091,BD.JJ.002,02 - Buddha Dhamma,what-are-rupa-relation-to-nibbana,PENDING,5949,0.119,1.19%,
0092,BD.JJ.003,02 - Buddha Dhamma,niramisa-sukha-happiness-arising-from-dissociating-from-the-31-realms,PENDING,8335,0.1667,1.67%,
0093,TL.CC.006,07 - Three Levels of Practice,how-to-taste-nibbana,DONE,6815,0.1363,1.36%,
0094,KD.EE.003,03 - Key Dhamma Concepts,does-the-first-noble-truth-describe-only-suffering,PENDING,12747,0.2549,2.55%,
0096,KD.EE.004,03 - Key Dhamma Concepts,nibbana-exists-but-not-in-this-world,PENDING,15500,0.31,3.1%,
0097,KD.FF.001,03 - Key Dhamma Concepts,anicca-dukkha-anatta-2,PENDING,1312,0.0262,0.26%,
0098,KD.FF.002,03 - Key Dhamma Concepts,anicca-dukkha-anatta-distortion-timeline,PENDING,15421,0.3084,3.08%,
0099,KD.FF.003,03 - Key Dhamma Concepts,anicca-dukkha-anatta,PENDING,18204,0.3641,3.64%,
0100,HB.AA.018,14 - Historical Background,misinterpretation-of-anicca-and-anatta-by-early-european-scholars,PENDING,17491,0.3498,3.5%,
0101,KD.FF.004,03 - Key Dhamma Concepts,the-way-to-nibbana-transcription-of-a-discourse-by-waharaka-thero,PENDING,2108,0.0422,0.42%,
0102,KD.FF.005,03 - Key Dhamma Concepts,anicca-true-meaning,PENDING,546,0.0109,0.11%,
0103,KD.FF.006,03 - Key Dhamma Concepts,anicca-inability-to-keep-what-we-like,PENDING,12934,0.2587,2.59%,
0104,KD.FF.007,03 - Key Dhamma Concepts,anicca-repeated-arisingdestruction,PENDING,6343,0.1269,1.27%,
0105,KD.FF.008,03 - Key Dhamma Concepts,anicca-worthlessness-of-worldly-things,PENDING,11950,0.239,2.39%,
0106,KD.FF.009,03 - Key Dhamma Concepts,incesssant-distress-pilana,PENDING,11835,0.2367,2.37%,
0107,KD.FF.010,03 - Key Dhamma Concepts,how-to-cultivate-the-anicca-sanna,PENDING,9919,0.1984,1.98%,
0108,KD.FF.011,03 - Key Dhamma Concepts,how-to-cultivate-the-anicca-sanna-ii,PENDING,13076,0.2615,2.62%,
0109,KD.FF.012,03 - Key Dhamma Concepts,if-everything-is-anicca-should-we-just-give-up-everything,PENDING,6825,0.1365,1.36%,
0110,KD.FF.013,03 - Key Dhamma Concepts,anatta-systematic-analysis,PENDING,642,0.0128,0.13%,
0111,KD.FF.014,03 - Key Dhamma Concepts,anatta-no-soul-no-atma,PENDING,9070,0.1814,1.81%,
0112,KD.FF.015,03 - Key Dhamma Concepts,anatta-no-refuge-in-this-world,PENDING,12723,0.2545,2.54%,
0113,KD.FF.016,03 - Key Dhamma Concepts,dasa-akusala-and-anatta-the-critical-link,PENDING,10483,0.2097,2.1%,
0114,KD.FF.017,03 - Key Dhamma Concepts,anatta-opposite-of-which-atta,PENDING,8564,0.1713,1.71%,
0115,KD.FF.018,03 - Key Dhamma Concepts,anatta-no-unchanging-self,PENDING,8513,0.1703,1.7%,
0118,KD.FF.028,03 - Key Dhamma Concepts,31-realms-connection-to-jhana,PENDING,8346,0.1669,1.67%,
0119,KD.FF.029,03 - Key Dhamma Concepts,manomaya-kaya-of-arupavacara-brahma,PENDING,8200,0.164,1.64%,
0120,KD.FF.019,03 - Key Dhamma Concepts,anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul,PENDING,11916,0.2383,2.38%,
0121,KD.FF.020,03 - Key Dhamma Concepts,tilakkhana-according-to-some-key-sutta,PENDING,14032,0.2806,2.81%,
0122,KD.FF.021,03 - Key Dhamma Concepts,tilakkhana-english-discourses,PENDING,3821,0.0764,0.76%,
0123,KD.FF.022,03 - Key Dhamma Concepts,sotapanna-stage-and-tilakkhana,PENDING,146,0.0029,0.03%,
0124,KD.FF.023,03 - Key Dhamma Concepts,sakkaya-ditthi-and-tilakkhana,PENDING,919,0.0184,0.18%,
0125,KD.FF.024,03 - Key Dhamma Concepts,sakkaya-ditthi-deeper-wrong-views,PENDING,13477,0.2695,2.7%,
0126,KD.FF.025,03 - Key Dhamma Concepts,associations-sevana-root-cause-of-wrong-views,PENDING,12670,0.2534,2.53%,
0127,KD.FF.026,03 - Key Dhamma Concepts,why-are-tilakkhana-not-included-in-37-factors-of-enlightenment,PENDING,11052,0.221,2.21%,
0128,KD.FF.027,03 - Key Dhamma Concepts,two-versions-of-37-factors-of-enlightenment,PENDING,10314,0.2063,2.06%,
0131,KD.GG.001,03 - Key Dhamma Concepts,gati-bhava-jati,PENDING,419,0.0084,0.08%,
0132,KD.GG.002,03 - Key Dhamma Concepts,namagotta-bhava-kamma-beeja-and-mano-loka-mind-plane,PENDING,9940,0.1988,1.99%,
0133,KD.GG.003,03 - Key Dhamma Concepts,gathi-bhava-many-varieties,PENDING,13610,0.2722,2.72%,
0134,KD.GG.004,03 - Key Dhamma Concepts,gathi-bhava-jati-ours-to-control,PENDING,11717,0.2343,2.34%,
0135,KD.GG.005,03 - Key Dhamma Concepts,memory-brain-mind-nama-loka-kamma-bhava-kamma-vipaka,PENDING,9861,0.1972,1.97%,
0136,KD.GG.006,03 - Key Dhamma Concepts,bhava-jati-states-of-existence-and-repeated-births-therein,PENDING,10171,0.2034,2.03%,
0137,KD.GG.007,03 - Key Dhamma Concepts,cuti-and-marana-related-to-bhava-and-jati,PENDING,10523,0.2105,2.1%,
0138,KD.GG.008,03 - Key Dhamma Concepts,anusaya-gati-bhava-connection-to-manomaya-kaya-gandhabba,PENDING,12221,0.2444,2.44%,
0139,PS.II.009,09 - Paṭicca Samuppāda,difference-between-tanha-and-upadana,PENDING,11340,0.2268,2.27%,
0140,KD.GG.009,03 - Key Dhamma Concepts,papa-kamma-versus-akusala-kamma,PENDING,11510,0.2302,2.3%,
0141,KD.HH.001,03 - Key Dhamma Concepts,key-pali-terms-tanha-lobha-dosa-moha,PENDING,667,0.0133,0.13%,
0142,KD.HH.002,03 - Key Dhamma Concepts,kama-tanha-bhava-tanha-vibhava-tanha,PENDING,6319,0.1264,1.26%,
0143,KD.HH.003,03 - Key Dhamma Concepts,tanha-how-we-attach-via-greed-hate-and-ignorance,PENDING,9173,0.1835,1.83%,
0144,KD.HH.004,03 - Key Dhamma Concepts,greed-kamachanda-kamaraga-lobha-raga,PENDING,5931,0.1186,1.19%,
0145,KD.HH.005,03 - Key Dhamma Concepts,lobha-dosa-moha-raga-patigha-avijja,PENDING,7284,0.1457,1.46%,
0146,LD.AA.006,04 - Living Dhamma,what-are-kilesa-mental-impurities-connection-to-cetasika,PENDING,13552,0.271,2.71%,
0147,KD.HH.006,03 - Key Dhamma Concepts,what-is-avijja-ignorance,PENDING,8661,0.1732,1.73%,
0148,TL.II.009,07 - Three Levels of Practice,two-types-of-vedana-feelings,DONE,12819,0.2564,2.56%,
0149,PS.JJ.003,09 - Paṭicca Samuppāda,anantara-samanantara-paccaya,PENDING,7719,0.1544,1.54%,
0150,KD.HH.007,03 - Key Dhamma Concepts,indriya-and-ayatana-big-difference,PENDING,10370,0.2074,2.07%,
0151,TL.EE.013,07 - Three Levels of Practice,hetu-phala-paccuppanna-and-paticca-samuppada,DONE,6432,0.1286,1.29%,
0152,TL.EE.009,07 - Three Levels of Practice,ditthi-wrong-views-samma-ditthi-correct-views,DONE,6391,0.1278,1.28%,
0153,KD.BB.007,03 - Key Dhamma Concepts,correct-meaning-of-vaci-sankhara,PENDING,15671,0.3134,3.13%,
0154,KD.HH.008,03 - Key Dhamma Concepts,panca-indriya-and-panca-bala-five-faculties-and-five-powers,PENDING,8210,0.1642,1.64%,
0155,KD.HH.009,03 - Key Dhamma Concepts,kamaccandha-and-icca-being-blinded-by-cravings,PENDING,8876,0.1775,1.78%,
0157,KD.II.001,03 - Key Dhamma Concepts,five-aggregates-pancakkhandha,PENDING,1702,0.034,0.34%,
0158,KD.II.002,03 - Key Dhamma Concepts,five-aggregates-introduction,PENDING,12544,0.2509,2.51%,
0159,KD.II.003,03 - Key Dhamma Concepts,difference-between-physical-rupa-and-rupakkhandha,PENDING,10428,0.2086,2.09%,
0160,KD.II.004,03 - Key Dhamma Concepts,rupakkhandha-and-rupa-upadanakkhandha,PENDING,10536,0.2107,2.11%,
0161,KD.II.005,03 - Key Dhamma Concepts,arising-of-five-aggregates,PENDING,17542,0.3508,3.51%,
0162,KD.II.006,03 - Key Dhamma Concepts,memory-records-critical-part-of-five-aggregates,PENDING,10712,0.2142,2.14%,
0163,KD.II.007,03 - Key Dhamma Concepts,panca-upadanakkhandha-introduction,PENDING,11386,0.2277,2.28%,
0164,KD.KK.001,03 - Key Dhamma Concepts,five-aggregates-connection-to-tilakkhana,PENDING,523,0.0105,0.1%,
0167,KD.II.008,03 - Key Dhamma Concepts,vinnana-defiled-consciousness,PENDING,9604,0.1921,1.92%,
0168,KD.II.009,03 - Key Dhamma Concepts,rupa-material-form,PENDING,5779,0.1156,1.16%,
0169,KD.II.010,03 - Key Dhamma Concepts,sensory-experience-pae1b9adicca-samuppada-and-pancupadanakkhandha,PENDING,13001,0.26,2.6%,
0170,KD.II.011,03 - Key Dhamma Concepts,two-aspects-of-sanna-beneficial-and-dangerous,PENDING,10962,0.2192,2.19%,
0171,KD.II.012,03 - Key Dhamma Concepts,overcoming-attachment-to-distorted-false-sanna-leads-to-nibbana,PENDING,11341,0.2268,2.27%,
0173,KD.KK.002,03 - Key Dhamma Concepts,five-aggregates-and-tilakkhana-introduction,PENDING,13323,0.2665,2.66%,
0174,KD.KK.003,03 - Key Dhamma Concepts,icca-nicca-anicca-important-connections,PENDING,15586,0.3117,3.12%,
0175,KD.KK.004,03 - Key Dhamma Concepts,me-and-mine-root-cause-of-suffering,PENDING,12960,0.2592,2.59%,
0176,KD.KK.005,03 - Key Dhamma Concepts,me-and-mine-and-sakkaya-ditthi,PENDING,12264,0.2453,2.45%,
0177,KD.KK.006,03 - Key Dhamma Concepts,sakkaya-ditthi-me-and-mine-view,PENDING,12769,0.2554,2.55%,
0178,KD.KK.007,03 - Key Dhamma Concepts,atta-two-very-different-meanings,PENDING,14715,0.2943,2.94%,
0179,KD.JJ.001,03 - Key Dhamma Concepts,nama-rupa-to-namarupa,PENDING,1083,0.0217,0.22%,
0180,KD.JJ.002,03 - Key Dhamma Concepts,vedana-and-samphassa-ja-vedana,PENDING,11096,0.2219,2.22%,
0181,KD.JJ.003,03 - Key Dhamma Concepts,does-bodily-pain-arise-only-due-to-kamma-vipaka,PENDING,14847,0.2969,2.97%,
0182,KD.JJ.004,03 - Key Dhamma Concepts,sanna-what-it-really-means,PENDING,12856,0.2571,2.57%,
0183,KD.JJ.005,03 - Key Dhamma Concepts,future-suffering-why-it-arises,PENDING,10402,0.208,2.08%,
0184,KD.JJ.006,03 - Key Dhamma Concepts,vipallasa-ditthi-sanna-citta,PENDING,13728,0.2746,2.75%,
0185,KD.BB.006,03 - Key Dhamma Concepts,sankhara-what-it-really-means,PENDING,13026,0.2605,2.61%,
0186,KD.JJ.007,03 - Key Dhamma Concepts,vinnana-what-it-really-means,PENDING,12078,0.2416,2.42%,
0187,KD.JJ.008,03 - Key Dhamma Concepts,kamma-vinnana-link-between-mind-and-matter,PENDING,9997,0.1999,2.0%,
0188,KD.JJ.009,03 - Key Dhamma Concepts,anidassana-vinnana-what-it-really-means,PENDING,15356,0.3071,3.07%,
0189,KD.JJ.010,03 - Key Dhamma Concepts,namarupa-in-vipaka-vinnae1b987a,PENDING,12189,0.2438,2.44%,
0190,KD.JJ.011,03 - Key Dhamma Concepts,namarupa-in-pae1b9adicca-samuppada,PENDING,10966,0.2193,2.19%,
0191,KD.JJ.012,03 - Key Dhamma Concepts,namarupa-different-types,PENDING,12210,0.2442,2.44%,
0193,KD.JJ.013,03 - Key Dhamma Concepts,kamma-vinnana-and-namarupa-paricceda-nana,PENDING,13090,0.2618,2.62%,
0194,KD.LL.001,03 - Key Dhamma Concepts,rupa-aggregate,PENDING,126,0.0025,0.03%,
0194,KD.LL.002,03 - Key Dhamma Concepts,bhuta-and-yathabhuta-what-do-they-really-mean,PENDING,14976,0.2995,3.0%,
0194,KD.LL.003,03 - Key Dhamma Concepts,what-are-rupa-dhamma-are-rupa-too-2,PENDING,12064,0.2413,2.41%,
0195,KD.AA.001,03 - Key Dhamma Concepts,pancakkhandha-or-five-aggregates-a-misinterpreted-concept,PENDING,17709,0.3542,3.54%,
