Fin-dex,PD#PN,Section,Slug,Status,Chars,Est_Cost_USD,Quota_Impact_%,COMMAND
0196,KD.AA.002,03 - Key Dhamma Concepts,pancupadanakkhandha-it-is-all-mental,PENDING,11711,0.2342,2.34%,
0197,LD.AA.000,04 - Living Dhamma,living-dhamma,PENDING,3875,0.0775,0.78%,
0198,LD.BB.001,04 - Living Dhamma,essential-buddhism,PENDING,695,0.0139,0.14%,
0199,LD.BB.002,04 - Living Dhamma,four-noble-truths,PENDING,12659,0.2532,2.53%,
0200,LD.BB.003,04 - Living Dhamma,citta-vedana-sanna-sankhara-vinnana,PENDING,13141,0.2628,2.63%,
0201,LD.BB.004,04 - Living Dhamma,vinnana-expectations-consciousness,PENDING,14259,0.2852,2.85%,
0202,LD.BB.005,04 - Living Dhamma,connection-between-sankhara-vinnana,PENDING,9431,0.1886,1.89%,
0203,LD.BB.006,04 - Living Dhamma,vinnana-sankhara-paticca-samuppada,PENDING,13503,0.2701,2.7%,
0204,LD.BB.007,04 - Living Dhamma,breath-meditation-addictive-harmful,PENDING,11839,0.2368,2.37%,
0205,LD.BB.008,04 - Living Dhamma,anapanasati-eliminate-mental-stress,PENDING,13544,0.2709,2.71%,
0206,LD.BB.009,04 - Living Dhamma,anapana-satipatthana-fundamentals,PENDING,7084,0.1417,1.42%,
0207,LD.BB.010,04 - Living Dhamma,sati-in-anapanasati-satipatthana,PENDING,13657,0.2731,2.73%,
0209,LD.AA.002,04 - Living Dhamma,living-dhamma-introduction,PENDING,13203,0.2641,2.64%,
0210,LD.AA.003,04 - Living Dhamma,peace-of-mind-to-nibbana-the-key-step,PENDING,12424,0.2485,2.48%,
0211,LD.AA.004,04 - Living Dhamma,starting-on-the-path-without-belief-in-rebirth,PENDING,2769,0.0554,0.55%,
0212,LD.CC.001,04 - Living Dhamma,dhamma-with-less-pali,PENDING,423,0.0085,0.08%,
0213,LD.CC.002,04 - Living Dhamma,buddha-dhamma-for-an-inquiring-mind-part-i,PENDING,12185,0.2437,2.44%,
0214,LD.CC.003,04 - Living Dhamma,root-of-all-suffering-ten-immoral-actions,PENDING,2137,0.0427,0.43%,
0215,LD.CC.004,04 - Living Dhamma,is-suffering-the-same-as-the-first-noble-truth-on-suffering,PENDING,11091,0.2218,2.22%,
0216,LD.CC.005,04 - Living Dhamma,complexity-of-mind-vinnana-sankhara,PENDING,7477,0.1495,1.5%,
0217,LD.CC.006,04 - Living Dhamma,dhamma-sankhara-sankata-rupa-vinnana-gati-asava-anusaya,PENDING,14389,0.2878,2.88%,
0218,AB.BB.007,13 - Abhidhamma,bhava-bhavanga-simply-explained,PENDING,10799,0.216,2.16%,
0219,LD.CC.007,04 - Living Dhamma,citta-mano-vinnana-nine-stages-of-mind-contamination,PENDING,17010,0.3402,3.4%,
0222,LD.AA.007,04 - Living Dhamma,suffering-in-this-life-role-of-mental-impurities,PENDING,1139,0.0228,0.23%,
0223,LD.AA.008,04 - Living Dhamma,satipattana-sutta-relevance-to-suffering-in-this-life,PENDING,1259,0.0252,0.25%,
0224,LD.AA.009,04 - Living Dhamma,how-are-gati-and-kilesa-incorporated-into-thoughts,PENDING,3701,0.074,0.74%,
0225,LD.AA.010,04 - Living Dhamma,noble-eightfold-path-role-of-sobhana-cetasika,PENDING,12915,0.2583,2.58%,
0226,LD.AA.011,04 - Living Dhamma,getting-to-samadhi,PENDING,1308,0.0262,0.26%,
0228,LD.DD.002,04 - Living Dhamma,micca-ditthi-connection-to-hethu-phala-cause-and-effect,PENDING,2233,0.0447,0.45%,
0229,LD.DD.003,04 - Living Dhamma,suffering-in-this-life-and-paticca-samuppada,PENDING,1968,0.0394,0.39%,
0230,LD.DD.004,04 - Living Dhamma,suffering-in-this-life-and-paticca-samuppada-ii,PENDING,2318,0.0464,0.46%,
0231,LD.EE.001,04 - Living Dhamma,transition-to-noble-eightfold-path,PENDING,267,0.0053,0.05%,
0232,LD.EE.002,04 - Living Dhamma,buddhist-needs-to-eliminate-sensual-desires,PENDING,12578,0.2516,2.52%,
0233,LD.EE.003,04 - Living Dhamma,sila-samadhi-panna-to-panna-sila-samadhi,PENDING,13473,0.2695,2.69%,
0234,PS.BB.009,09 - Paṭicca Samuppāda,six-root-causes-loka-samudaya-loka-nirodhaya,PENDING,9101,0.182,1.82%,
0235,LD.EE.004,04 - Living Dhamma,ye-dhamma-hetuppabhava-and-yam-kinci-samudaya-dhammam,PENDING,11653,0.2331,2.33%,
0236,LD.FF.001,04 - Living Dhamma,samadhi-jhana-magga-phala,PENDING,358,0.0072,0.07%,
0237,LD.FF.002,04 - Living Dhamma,samadhi-jhana-magga-phala-introduction,PENDING,10953,0.2191,2.19%,
0238,LD.FF.003,04 - Living Dhamma,vitakka-vicara-savitakka-savicara-avitakka-avicara,PENDING,10783,0.2157,2.16%,
0239,LD.FF.004,04 - Living Dhamma,jhanic-experience-details,PENDING,9762,0.1952,1.95%,
0240,LD.FF.005,04 - Living Dhamma,ascendance-to-nibbana-via-jhana-dhyana,PENDING,14913,0.2983,2.98%,
0241,LD.FF.006,04 - Living Dhamma,pannavimutti-arahanthood-without-jhana,PENDING,11614,0.2323,2.32%,
0242,LD.FF.007,04 - Living Dhamma,mundane-supramundane-jhana,PENDING,19017,0.3803,3.8%,
0243,LD.FF.008,04 - Living Dhamma,nirodha-samapatti-phala-samapatti-jhana-and-jhana-samapatti,PENDING,15695,0.3139,3.14%,
0244,LD.GG.001,04 - Living Dhamma,mental-body-gandhabba,PENDING,492,0.0098,0.1%,
0245,LD.GG.002,04 - Living Dhamma,our-mental-body-gandhabba,PENDING,15973,0.3195,3.19%,
0246,LD.GG.003,04 - Living Dhamma,gandhabba-state-tipitaka-evidence,PENDING,17599,0.352,3.52%,
0247,LD.GG.004,04 - Living Dhamma,antarabhava-and-gandhabba,PENDING,176,0.0035,0.04%,
0248,LD.GG.005,04 - Living Dhamma,anantarika-kamma-gandhabba,PENDING,13090,0.2618,2.62%,
0249,LD.GG.006,04 - Living Dhamma,mental-body-gandhabba-personal-accounts,PENDING,7432,0.1486,1.49%,
0250,LD.GG.007,04 - Living Dhamma,abnormal-births-due-to-gandhabba-transformations,PENDING,9467,0.1893,1.89%,
0251,LD.GG.008,04 - Living Dhamma,ahara-food-for-the-mental-body,PENDING,16003,0.3201,3.2%,
0252,LD.GG.009,04 - Living Dhamma,miccha-ditthi-gandhabba-sotapanna-stage,PENDING,12415,0.2483,2.48%,
0253,LD.GG.010,04 - Living Dhamma,working-of-kamma-critical-role-of-conditions,PENDING,9997,0.1999,2.0%,
0273,IS.CC.006,10 - Is There a “Self”?,do-i-have-a-mind-that-is-fixed-and-mine,PENDING,12936,0.2587,2.59%,
0276,DS.AA.000,05 - Dhamma and Science,dhamma-and-science,PENDING,245,0.0049,0.05%,
0277,DS.AA.001,05 - Dhamma and Science,dhamma-and-science-introduction,PENDING,8651,0.173,1.73%,
0278,DS.AA.002,05 - Dhamma and Science,dhamma-and-science,PENDING,245,0.0049,0.05%,
0279,DS.BB.001,05 - Dhamma and Science,origin-of-life,PENDING,2789,0.0558,0.56%,
0280,DS.BB.002,05 - Dhamma and Science,origin-of-life-no-traceable-origin,PENDING,13832,0.2766,2.77%,
0281,DS.BB.003,05 - Dhamma and Science,human-life-gandhabba-and-cell,PENDING,11803,0.2361,2.36%,
0282,DS.BB.004,05 - Dhamma and Science,clarification-of-mental-body-and-physical-body,PENDING,13345,0.2669,2.67%,
0283,DS.BB.005,05 - Dhamma and Science,four-types-of-births-in-buddhism,PENDING,12440,0.2488,2.49%,
0284,DS.BB.006,05 - Dhamma and Science,conception-abortion-contraception-buddha-dhamma,PENDING,10772,0.2154,2.15%,
0285,DS.BB.007,05 - Dhamma and Science,cloning-and-gandhabba,PENDING,12278,0.2456,2.46%,
0286,DS.BB.008,05 - Dhamma and Science,origin-of-living-cell,PENDING,11949,0.239,2.39%,
0287,DS.BB.009,05 - Dhamma and Science,mystical-phenomena-in-buddhism,PENDING,13707,0.2741,2.74%,
0288,DS.CC.001,05 - Dhamma and Science,views-on-life,PENDING,1932,0.0386,0.39%,
0289,DS.CC.002,05 - Dhamma and Science,wrong-view-of-life-materialism,PENDING,10870,0.2174,2.17%,
0290,DS.CC.003,05 - Dhamma and Science,wrong-view-of-creationism-part-1,PENDING,8594,0.1719,1.72%,
0291,DS.CC.004,05 - Dhamma and Science,wrong-view-of-creationism-part-2,PENDING,11771,0.2354,2.35%,
0292,DS.DD.001,05 - Dhamma and Science,worldview-of-the-buddha,PENDING,3002,0.06,0.6%,
0293,DS.DD.002,05 - Dhamma and Science,buddhist-worldview,PENDING,11272,0.2254,2.25%,
0294,DS.DD.003,05 - Dhamma and Science,mind-pleasing-things-in-the-world-arise-via-pae1b9adicca-samuppada,PENDING,12934,0.2587,2.59%,
0295,DS.DD.004,05 - Dhamma and Science,sensory-inputs-initiate-creation-of-the-world-loka-samudaya,PENDING,13790,0.2758,2.76%,
0296,DS.DD.005,05 - Dhamma and Science,sandie1b9ade1b9adhiko-what-does-it-mean,PENDING,17074,0.3415,3.41%,
0297,DS.DD.006,05 - Dhamma and Science,a-sensory-input-triggers-distorted-sanna-and-pancupadanakkhandha,PENDING,13717,0.2743,2.74%,
0298,DS.DD.007,05 - Dhamma and Science,kama-sanna-how-to-bypass-to-cultivate-satipae1b9ade1b9adhana,PENDING,13490,0.2698,2.7%,
0300,DS.DD.009,05 - Dhamma and Science,loka-and-nibbana-aloka-complete-overview,PENDING,14533,0.2907,2.91%,
0301,DS.EE.001,05 - Dhamma and Science,contact-between-ayatana-leads-to-vipaka-vinnana,PENDING,991,0.0198,0.2%,
0302,DS.EE.002,05 - Dhamma and Science,how-do-sense-faculties-become-internal-ayatana,PENDING,14404,0.2881,2.88%,
0303,DS.EE.003,05 - Dhamma and Science,indriya-make-phassa-and-ayatana-make-samphassa,PENDING,12851,0.257,2.57%,
0304,IS.CC.002,10 - Is There a “Self”?,citta-basis-of-experience-actions,PENDING,12728,0.2546,2.55%,
0305,IS.CC.003,10 - Is There a “Self”?,vipaka-vedana-samphassa-ja-vedana,PENDING,14129,0.2826,2.83%,
0306,IS.CC.004,10 - Is There a “Self”?,kama-guna-origin-of-attachment-tanha,PENDING,15543,0.3109,3.11%,
0307,IS.CC.005,10 - Is There a “Self”?,vision-is-a-series-of-snapshots-movie-analogy,PENDING,14370,0.2874,2.87%,
0308,IS.CC.007,10 - Is There a “Self”?,chachakka-sutta-six-types-of-vipaka-vinnana,PENDING,17351,0.347,3.47%,
0309,IS.CC.008,10 - Is There a “Self”?,sakkaya-ditthi-in-terms-of-atta-self-atma,PENDING,16306,0.3261,3.26%,
0310,IS.CC.009,10 - Is There a “Self”?,an-apparent-self-involved-in-kamma-generation,PENDING,17311,0.3462,3.46%,
0311,DS.FF.001,05 - Dhamma and Science,paticca-samuppada-not-self-or-no-self,PENDING,631,0.0126,0.13%,
0312,DS.FF.002,05 - Dhamma and Science,tanha-origin-of-suffering,PENDING,8300,0.166,1.66%,
0313,DS.FF.003,05 - Dhamma and Science,paticca-samuppada-self-exists-due-to-avijja,PENDING,11882,0.2376,2.38%,
0314,DS.FF.004,05 - Dhamma and Science,kamma-sankhara-abhisankhara-intention,PENDING,11413,0.2283,2.28%,
0315,DS.FF.005,05 - Dhamma and Science,vaci-sankhara-sankappa-conscious-thoughts-and-vaca-speech,PENDING,15446,0.3089,3.09%,
0316,DS.FF.006,05 - Dhamma and Science,tanha-paccaya-upadana,PENDING,13064,0.2613,2.61%,
0317,DS.FF.007,05 - Dhamma and Science,moha-avijja-and-vipaka-vinnana-kamma-vinnana,PENDING,11460,0.2292,2.29%,
0318,DS.FF.008,05 - Dhamma and Science,iccha-cravings-lead-to-upadana-to-suffering,PENDING,12884,0.2577,2.58%,
0319,DS.FF.009,05 - Dhamma and Science,dhamma-kamma-sankhara-mind-critical-connections,PENDING,15032,0.3006,3.01%,
0320,DS.FF.010,05 - Dhamma and Science,paticca-samuppada-mind-to-matter,PENDING,10980,0.2196,2.2%,
0322,PS.DD.002,09 - Paṭicca Samuppāda,kamma-and-paticca-samuppada-introduction,PENDING,12171,0.2434,2.43%,
0323,PS.DD.006,09 - Paṭicca Samuppāda,kama-assada-a-root-cause-of-suffering,PENDING,12386,0.2477,2.48%,
0324,PS.DD.007,09 - Paṭicca Samuppāda,gati-determine-births,PENDING,12829,0.2566,2.57%,
0326,DS.HH.002,05 - Dhamma and Science,ghost-1990-movie-good-depiction-of-gandhabba-concept,PENDING,15352,0.307,3.07%,
0327,DS.HH.003,05 - Dhamma and Science,mental-body-versus-physical-body,PENDING,12094,0.2419,2.42%,
0328,HB.AA.008,14 - Historical Background,tipitaka-english-convention-part-1,PENDING,10881,0.2176,2.18%,
0329,HB.AA.009,14 - Historical Background,tipitaka-english-convention-part-2,PENDING,8857,0.1771,1.77%,
0331,DS.II.002,05 - Dhamma and Science,framework-of-buddha-dhamma,PENDING,13838,0.2768,2.77%,
0332,DS.II.003,05 - Dhamma and Science,first-noble-truth-suffering-dukkha,PENDING,14261,0.2852,2.85%,
0333,DS.II.004,05 - Dhamma and Science,dangers-of-wrong-views,PENDING,13642,0.2728,2.73%,
0334,DS.II.005,05 - Dhamma and Science,samma-ditthi-two-types,PENDING,12824,0.2565,2.56%,
0335,DS.II.006,05 - Dhamma and Science,fear-of-nibbana-enlightenment,PENDING,12703,0.2541,2.54%,
0336,DS.BB.010,05 - Dhamma and Science,origin-of-life-connection-to-dhamma,PENDING,17437,0.3487,3.49%,
0337,DS.JJ.001,05 - Dhamma and Science,consciousness-a-dhamma-perspective,PENDING,198,0.004,0.04%,
0338,DS.JJ.002,05 - Dhamma and Science,what-is-consciousness,PENDING,6371,0.1274,1.27%,
0339,DS.JJ.003,05 - Dhamma and Science,what-happens-in-other-dimensions,PENDING,4795,0.0959,0.96%,
0340,DS.JJ.004,05 - Dhamma and Science,six-kinds-of-consciousness-in-our-3-d-world,PENDING,7812,0.1562,1.56%,
0341,DS.JJ.005,05 - Dhamma and Science,expanding-consciousness-by-using-technology,PENDING,1819,0.0364,0.36%,
0342,DS.JJ.006,05 - Dhamma and Science,expanding-consciousness-by-purifying-the-mind,PENDING,13591,0.2718,2.72%,
0343,DS.KK.001,05 - Dhamma and Science,buddhism-consistencies-with-science,PENDING,368,0.0074,0.07%,
0344,DS.KK.002,05 - Dhamma and Science,second-law-of-thermodynamics-is-part-of-anicca,PENDING,5655,0.1131,1.13%,
0345,DS.KK.003,05 - Dhamma and Science,quantum-entanglement-we-are-all-connected,PENDING,9019,0.1804,1.8%,
0346,DS.KK.004,05 - Dhamma and Science,infinity-how-big-is-it,PENDING,7605,0.1521,1.52%,
0347,DS.KK.005,05 - Dhamma and Science,godels-incompleteness-theorem,PENDING,9903,0.1981,1.98%,
0348,DS.KK.006,05 - Dhamma and Science,triune-brain-how-the-mind-rewires-the-brain-via-meditation,PENDING,8680,0.1736,1.74%,
0349,DS.KK.007,05 - Dhamma and Science,how-habits-are-formed-scientific-view,PENDING,11114,0.2223,2.22%,
0350,DS.KK.008,05 - Dhamma and Science,buddhism-inconsistencies-with-science,PENDING,1966,0.0393,0.39%,
0351,AB.FF.002,13 - Abhidhamma,neuroscience-says-there-is-no-free-will-that-is-a-misinterpretation,PENDING,8767,0.1753,1.75%,
0352,AB.FF.003,13 - Abhidhamma,the-double-slit-experiment,PENDING,9182,0.1836,1.84%,
0353,AB.FF.004,13 - Abhidhamma,vision-cakkhu-vinnana-is-not-just-seeing,PENDING,11274,0.2255,2.25%,
0355,SI.AA.010,17 - Sutta Interpretations,buddhist-cosmology-agganna-sutta,PENDING,16521,0.3304,3.3%,
0358,ER.AA.000,06 - Elephants in the Room,elephants-in-the-room,PENDING,822,0.0164,0.16%,
0359,ER.BB.001,06 - Elephants in the Room,elephant-in-the-room-1-direct-translation-of-the-tipitaka,PENDING,245,0.0049,0.05%,
0360,PS.GG.002,09 - Paṭicca Samuppāda,distortion-of-pali-keywords-in-paticca-samuppada,PENDING,14209,0.2842,2.84%,
0364,ER.CC.002,06 - Elephants in the Room,idappaccayata-paticca-samuppada-bhava-and-jati-within-a-lifetime,PENDING,12936,0.2587,2.59%,
0365,ER.CC.003,06 - Elephants in the Room,change-of-mindset-due-to-an-arammana,PENDING,9621,0.1924,1.92%,
0366,ER.CC.004,06 - Elephants in the Room,khandha-in-idappaccayata-paticca-samuppada,PENDING,12855,0.2571,2.57%,
0367,ER.CC.005,06 - Elephants in the Room,seeing-is-a-series-of-snapshots,PENDING,12001,0.24,2.4%,
0369,ER.CC.006,06 - Elephants in the Room,aggregate-of-forms-collection-of-mental-impressions-of-forms,PENDING,11501,0.23,2.3%,
0370,ER.CC.007,06 - Elephants in the Room,rupakkhandha-in-idappaccayata-paticca-samuppada,PENDING,13066,0.2613,2.61%,
0371,ER.CC.008,06 - Elephants in the Room,five-aggregates-experiences-of-each-sentient-being,PENDING,10645,0.2129,2.13%,
0372,ER.CC.009,06 - Elephants in the Room,pancupadanakkhandha-attachment-to-ones-experiences,PENDING,10526,0.2105,2.11%,
0373,ER.CC.010,06 - Elephants in the Room,noble-truth-of-suffering-pancupadanakkhandha-dukkha,PENDING,11289,0.2258,2.26%,
0374,ER.CC.011,06 - Elephants in the Room,sakkaya-ditthi-and-pancupadanakkhandha,PENDING,12612,0.2522,2.52%,
0375,ER.CC.012,06 - Elephants in the Room,bhava-and-jati-within-a-lifetime-example,PENDING,10756,0.2151,2.15%,
0376,ER.DD.001,06 - Elephants in the Room,often-mistranslated-pali-keywords,PENDING,62,0.0012,0.01%,YES
0377,ER.DD.002,06 - Elephants in the Room,raga-and-jhana-two-commonly-misunderstood-words,PENDING,13338,0.2668,2.67%,
0378,ER.EE.001,06 - Elephants in the Room,elephant-in-the-room-2-jhana-and-kasina,PENDING,255,0.0051,0.05%,
0379,ER.EE.002,06 - Elephants in the Room,janato-passato-and-ajaniya-critical-words-to-remember,PENDING,12149,0.243,2.43%,
0380,ER.EE.003,06 - Elephants in the Room,samadhi-jhana-and-samma-samadhi,PENDING,13910,0.2782,2.78%,
0381,ER.EE.004,06 - Elephants in the Room,jhana-jhaya-and-jhayi-different-meanings,PENDING,15853,0.3171,3.17%,
0382,ER.EE.005,06 - Elephants in the Room,jhana-finer-details,PENDING,12709,0.2542,2.54%,
0383,ER.EE.006,06 - Elephants in the Room,samma-samadhi-how-to-define-it,PENDING,16625,0.3325,3.33%,
0384,ER.EE.007,06 - Elephants in the Room,ariya-jhana-and-anariya-jhana-main-differences,PENDING,18536,0.3707,3.71%,
0385,ER.FF.001,06 - Elephants in the Room,elephant-in-the-room-3-anapanasati,PENDING,161,0.0032,0.03%,
0386,ER.FF.002,06 - Elephants in the Room,anapanasati-overview,PENDING,14347,0.2869,2.87%,
0387,ER.FF.003,06 - Elephants in the Room,assasa-passasa-what-do-they-mean,PENDING,13640,0.2728,2.73%,
0388,ER.FF.004,06 - Elephants in the Room,anapanasati-not-about-breath-icchanae1b985gala-sutta,PENDING,10904,0.2181,2.18%,
0389,ER.FF.005,06 - Elephants in the Room,maharahulovada-sutta-and-anapanasati,PENDING,15084,0.3017,3.02%,
0390,ER.GG.001,06 - Elephants in the Room,elephant-in-the-room-4-gandhabba-manomaya-kaya,PENDING,45,0.0009,0.01%,YES
0391,ER.GG.002,06 - Elephants in the Room,does-gandhabba-mean-semen,PENDING,12784,0.2557,2.56%,
0392,TL.AA.000,07 - Three Levels of Practice,three-levels-of-practice,DONE,278,0.0056,0.06%,
0393,TL.BB.000,07 - Three Levels of Practice,moral-living-and-fundamentals,DONE,1903,0.0381,0.38%,
0394,TL.BB.001,07 - Three Levels of Practice,the-basics,DONE,334,0.0067,0.07%,
0395,TL.BB.002,07 - Three Levels of Practice,let-us-make-a-better-world,DONE,2725,0.0545,0.55%,
0396,TL.BB.003,07 - Three Levels of Practice,law-of-attraction-habits-gathi-and-cravings-asavas,DONE,10105,0.2021,2.02%,
0397,TL.BB.004,07 - Three Levels of Practice,how-to-remove-bad-habits,DONE,5307,0.1061,1.06%,
0398,TL.BB.005,07 - Three Levels of Practice,miccha-ditthi-simpler-analysis,DONE,12739,0.2548,2.55%,
0399,TL.BB.006,07 - Three Levels of Practice,four-noble-truths-recipe-for-problem-solving,DONE,14653,0.2931,2.93%,
0400,TL.BB.007,07 - Three Levels of Practice,first-noble-truth-a-simple-explanation-of-one-aspect,DONE,7772,0.1554,1.55%,
0401,TL.BB.008,07 - Three Levels of Practice,difference-between-a-wish-and-a-determination-paramita,DONE,5832,0.1166,1.17%,
0403,TL.CC.002,07 - Three Levels of Practice,key-to-calming-the-mind-five-hindrances,DONE,10403,0.2081,2.08%,
0404,TL.CC.003,07 - Three Levels of Practice,solution-to-a-wandering-mind-abandon-everything,DONE,5759,0.1152,1.15%,
0405,TL.CC.004,07 - Three Levels of Practice,right-speech,DONE,4466,0.0893,0.89%,
0406,TL.CC.005,07 - Three Levels of Practice,three-kinds-of-happiness,DONE,5704,0.1141,1.14%,
0408,TL.CC.007,07 - Three Levels of Practice,learning-buddha-dhamma-leads-to-niramisa-sukha,DONE,10761,0.2152,2.15%,
0409,TL.CC.008,07 - Three Levels of Practice,need-to-experience-suffering-in-order-to-understand-it,DONE,5931,0.1186,1.19%,
0410,TL.CC.009,07 - Three Levels of Practice,does-impermanence-lead-to-suffering,DONE,8062,0.1612,1.61%,
0411,TL.DD.001,07 - Three Levels of Practice,buddha-dhamma-and-buddhism,DONE,294,0.0059,0.06%,
0412,TL.DD.002,07 - Three Levels of Practice,what-is-unique-in-buddha-dhamma,DONE,11767,0.2353,2.35%,
0413,TL.DD.003,07 - Three Levels of Practice,a-buddhist-or-a-bhouddhaya,DONE,9196,0.1839,1.84%,
0414,TL.DD.004,07 - Three Levels of Practice,where-to-start-on-the-path,DONE,7551,0.151,1.51%,
0415,PS.FF.003,09 - Paṭicca Samuppāda,what-reincarnates-concept-of-a-lifestream,DONE,10329,0.2066,2.07%,
0416,TL.DD.005,07 - Three Levels of Practice,recent-evidence-for-unbroken-memory-records-hsam,DONE,6997,0.1399,1.4%,
0417,TL.DD.006,07 - Three Levels of Practice,buddhism-without-rebirth-and-nibbana,DONE,14657,0.2931,2.93%,
0418,TL.DD.007,07 - Three Levels of Practice,self-and-no-self-simple-analysis,DONE,12555,0.2511,2.51%,
0419,AB.CC.002,13 - Abhidhamma,what-is-mind-how-do-we-experience-the-outside-world,PENDING,10721,0.2144,2.14%,
0420,TL.EE.001,07 - Three Levels of Practice,dhamma-concepts,DONE,536,0.0107,0.11%,
0421,TL.EE.002,07 - Three Levels of Practice,kilesa-relationship-to-akusala-kusala-and-punna-kamma,DONE,10017,0.2003,2.0%,
