pdpn,field,current_title,suspected_issue,body_evidence,metadata_sources_also_affected,static_stale,confidence,recommended_action
BA.AA.001,en,Pali Suttas In Tipie1B9Adaka Direct Translations Are Wrong,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Pāli; suttās; Tipiṭaka; Suttās; cetanā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
BA.AA.005,en,Arammae1B987A Sensory Input Initiates Critical Processes,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Ā; rammaṇa; Paṭicca; Samuppāda; pañc,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
BM.CC.006,en,Tae1B987Ha Result Of Sanna Giving Rise To Mind Made Vedana,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Taṇhā; vedanā; saññā; kāma; rāga,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
CH.AA.005,en,Rupa Dhamma Appae1B9Adigha Rupa And Namagotta Memories,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: ṭ; Dhammā; Nāmagotta; rūpakkhanda; Appaṭigha,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
DS.DD.003,en,Mind Pleasing Things In The World Arise Via Pae1B9Adicca Samuppada,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Paṭicca; Samuppāda; saññā; saṅkhata; Saññā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
DS.DD.005,en,Sandie1B9Ade1B9Adhiko What Does It Mean,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Sandiṭṭhiko; rāga; saññā; asañña; Rāga,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
DS.DD.007,en,Kama Sanna How To Bypass To Cultivate Satipae1B9Ade1B9Adhana,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Kāma; saññā; kāma; pañca; nivaraṇa,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
ER.FF.004,en,Anapanasati Not About Breath Icchanae1B985Gala Sutta,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Icchā; naṅga; Ānāpānasati; Vassāvāsa; Ekaṃ,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
IS.BB.004,en,Aniccae1B981 Viparie1B987Ami Annathabhavi A Critical Verse,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Aniccaṁ; vipariṇāmi; aññathābhāvi; Nibbāna; pañcakkhandha,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
KD.DD.005,en,Kamma Are Done With Abhisae1B985Khara Types Of Abhisae1B985Khara,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: rāga; abhisaṅkhāra; suttās; cetanā; sañcetanā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
KD.DD.005,pt,Kamma já terminou o Abhisae1B985Khara Tipos de Abhisae1B985Khara,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: rāga; abhisaṅkhāra; suttās; cetanā; sañcetanā,not found by exact title/slug search,yes: page/archive/index/search,high,Review PT title only after EN title is corrected and PT evidence is reviewed
KD.II.010,en,Sensory Experience Pae1B9Adicca Samuppada And Pancupadanakkhandha,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: pañc; upādāna; vedanā; saññā; saṅkhāra,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
KD.II.010,pt,Experiência sensorial Pae1B9Adicca Samuppada e Pancupadanakkhandha,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: pañc; upādāna; vedanā; saññā; saṅkhāra,not found by exact title/slug search,yes: page/archive/index/search,high,Review PT title only after EN title is corrected and PT evidence is reviewed
KD.JJ.010,en,Namarupa In Vipaka Vinnae1B987A,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Nāmarupa; vipāka; viññāṇa; nāmarupa; nāma,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
KD.JJ.010,pt,Namarupa em Vipaka Vinnae 1B987A,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Nāmarupa; vipāka; viññāṇa; nāmarupa; nāma,not found by exact title/slug search,yes: page/archive/index/search,high,Review PT title only after EN title is corrected and PT evidence is reviewed
KD.JJ.011,en,Namarupa In Pae1B9Adicca Samuppada,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Nāmarupa; Idappaccayātā; Paṭicca; Samuppāda; avijjā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
PS.DD.004,en,Difference Between Dhamma And Sae1B985Khara,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: dhammā; saṅkhāra; sabbē; saṅkhārā; aniccā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
PS.GG.004,en,Sae1B985Khara An Introduction,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: saṅkhāra; Paṭicca; Samuppāda; Saṅkhara; Saṅkhāra,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
PS.II.011,en,Namarupa Vinnae1B987A Dhamma Closely Related,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Nāmarupa; viññāṇa; dhammā; saṅkhāra; Paṭicca,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
TL.II.008,en,Fooled By Distorted Sanna Sanjanati Origin Of Attachment Tae1B987Ha,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: saññā; taṇhā; Mūlapariyāya; vedanā; bhavaṇga,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
TL.II.008,pt,Enganado por Sanna Sanjanati Distorcido Origem do Vínculo Tae1B987Ha,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: saññā; taṇhā; Mūlapariyāya; vedanā; bhavaṇga,not found by exact title/slug search,yes: page/archive/index/search,high,Review PT title only after EN title is corrected and PT evidence is reviewed
TL.II.013,en,Sanna Nidana Hi Papanca Sae1B985Kha Immoral Thoughts Based On Distorted Sanna,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Saññānidānā; papañcasaṅkhā; saññā; Pheṇapiṇḍūpama; Saññā,TCC; slug_map,yes: page/archive/index/search,high,Review original title evidence and correct identity title only after confirming intended Unicode form
TL.II.013,pt,Sanna Nidana Hi Papanca Sae1B985Kha Pensamentos imorais baseados em Sanna distorcido,ASCII/hex artifact in title metadata; en_source=legacy_migration,EN body has Unicode candidates: Saññānidānā; papañcasaṅkhā; saññā; Pheṇapiṇḍūpama; Saññā,not found by exact title/slug search,yes: page/archive/index/search,high,Review PT title only after EN title is corrected and PT evidence is reviewed
